Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
83,Der Herr der Ringe (The Shire),Howard Shore,2001,https://www.youtube.com/watch?v=IlmiRndxkU8,5e192afbcd50fde37ce226541178afb2c258c5f73ac7c7e201c3751015e0711e,The Shire,USRE10501559
84,Braveheart (For The Love Of A Princess),James Horner,1995,https://www.youtube.com/watch?v=fk8323r577w,e3aded92dc240c846462a06020e2aac665ee75a417cba03df3e4381caa8384ef,Braveheart Soundtrack -   For The Love Of A Princess,GBBBA9570211
85,Drei Engel für Charlie,Jack Elliot,1976,https://www.youtube.com/watch?v=gqdjG9cprag,484c71948f27effd34d3b6333dce19f5908e8cf7e1dc8ceca8c0525fc22b166a,Charlie's Angels: Theme from the TV Series,QMT281201380
86,Highlander - Es kann nur einen geben (Princes Of The Universe),Queen,1986,https://www.youtube.com/watch?v=b7dFnCZjick,02b09fdb916df4382002bde5585af792ad752e75ca0adaa58b9ef4843ed769f1,Princes Of The Universe (Remastered 2011),GBUM71103763
87,Mannequin (Nothing's Gonna Stop Us Now),Starship,1987,https://www.youtube.com/watch?v=3wxyN3z9PL4,476274736a36152dc5aa5c580d8238b0fbbab1f9d998354e05b17ec3a9ec8ae8,Starship - Nothing's Gonna Stop Us Now (Official Music Video) [HD],USRC18702968
88,Bonanza,"Ray Evans, Jerry Livingston",1959,https://www.youtube.com/watch?v=k9JGDq2jp5c,6078d90b1efd4a566b268fc33bd7594525cd37b79209683235f31ea36af47f28,RAY EVANS & JAY LIVINGSTON - BONANZA THEME - 1959,GBAJC0103664
89,Spider-Man (Hero),"Chad Kroeger, Josey Scott",2002,https://www.youtube.com/watch?v=TmSRMWw8Y_0,510f0c9ee5e5fb9facfb2028ba6c55ee8f844cb3a68724840b57b7dc9b13de52,Chad Kroeger feat. Josey Scott - Hero (2002) HQ,NLA320219756
90,Der Pate (The Godfather Waltz),Nino Rota,1972,https://www.youtube.com/watch?v=PPskYVBqdNw,288b80466a53a32a6e2262afe88e20f9faa11a7a658820dc004328b503c011b7,The Godfather - Main Title (The Godfather Waltz) - HQ - Nino Rota,USMC17251829
91,Notting Hill (When You Say Nothing At All),Ronan Keating,1999,https://www.youtube.com/watch?v=IobNcpiwpSc,c6147858cfd97c6e363f9d075de83c2d0e191e6fd249f578b5b06d67e2abdd0a,Ronan Keating - When You Say Nothing At All,GBAKW9900139
92,Succession,Nicholas Britell,2018,https://www.youtube.com/watch?v=LlgWqcHXD8w,c6e528a9ddcf2fe97a3d71af7a2407f089dcb484ddafcf20e31066c2f93d308f,Succession (Main Title Theme) - Nicholas Britell | Succession (HBO Original Series Soundtrack),US5941411059
93,Du sollst mein Glücksstern sein (Singin' In The Rain),Gene Kelly,1952,https://www.youtube.com/watch?v=swloMVFALXw,bc429a8eced1cf740b0fe8c34105676be908d8b97e18a3c68f0752e4133446b6,Singin' in the Rain (Full Song/Dance - '52) - Gene Kelly - Musical Romantic Comedies - 1950s Movies,USNLR1200586
94,Dexter,Rolfe Kent,2006,https://www.youtube.com/watch?v=KWnhuDZMkuc,74e95072efe208eda3d65b2c9f180f9efd88fcda4c3a54cc08dcae83084a1ce0,Rolfe Kent - Dexter Main Title (Dexter Season 8 Showtime Original Series Soundtrack),US5940700171
95,Slumdog Millionär (Jai Ho),A. R. Rahman,2008,https://www.youtube.com/watch?v=uinBpHT-AxM,4b3edd5b9fe2afcbb28c625f5557ebf72a96027802cbf92468c3b271514d633e,AR Rahman - Jai Ho [Lyrical Video] - Slumdog Millionaire.,INS180902304
96,Suicide Squad (Heathens),Twenty One Pilots,2016,https://www.youtube.com/watch?v=UprcpdwuwCg,372c3f60086842e4c4ab4aa14058cc2b08a5ded699150cf476a018242200794d,twenty one pilots: Heathens (from Suicide Squad: The Album) [OFFICIAL VIDEO],USAT21601930
97,The Office,Jay Ferguson,2005,https://www.youtube.com/watch?v=tFXjflvbBJo,4fa41ed3884f15599afce72ca8adc48bc770e42d183d4bbef0e0582f2eb6b88d,The Office - Main Theme,QZ5FN1888675
98,Matrix (Clubbed to Death),Robert D.,1999,https://www.youtube.com/watch?v=pFS4zYWxzNA,40e38752639f9d5cc1b028e2c3bd1dad913cb2a147dfccdf0b0c6311110d229e,clubbed to death - Matrix soundtrack,GBXWM1102584
99,Halloween - Die Nacht des Grauens,John Carpenter,1978,https://www.youtube.com/watch?v=pT4FY3NrhGg,7885f1efb23add1b71b50641d6a6099e8e31f03e51e6faa7a33e8c137862b6e6,John Carpenter - Halloween 1978  (main Theme),TCAAR1072726
100,The Crown,Hans Zimmer,2016,https://www.youtube.com/watch?v=sqgchhZcNP0,fcf6585083ec41244a05149317b5812f736fe0d2a1456f078b548b34e1e83d20,The Crown Main Title,USJPL1600301
101,Fame - Der Weg zum Ruhm,Irene Cara,1980,https://www.youtube.com/watch?v=o2jh7N7Fldk,6be73a025418ddcb1bf7fd5c29c02f228370dc3aed4bf43ce1eed145928dd62a,Irene Cara - Fame 1980 (VHS 1982 Edit),USNLR1200531
102,Harry Potter und der Stein der Weisen (Prologue),John Williams,2001,https://www.youtube.com/watch?v=UuPb1J_RCJM,13792db5d47bedcf9f9ac30f8c9619714ea77111db03d2b50fbc0c198da7fd2e,Prologue,USAT20109180
103,Coco - Lebendiger als das Leben! (Un Poco Loco),"Anthony Gonzalez, Gael Garcia Bernal",2017,https://www.youtube.com/watch?v=yg8116aeD7E,2793ca013a658865a9a67b6e4cd7afea5c62de0f7990d37a2084ccba344e991a,"Anthony Gonzalez, Gael García Bernal - Un Poco Loco (From ""Coco"")",USWD11783639
104,Two and a Half Men (Manly Men),"Chuck Lorre, Lee Aronsohn",2003,https://www.youtube.com/watch?v=ufleKTpC1vw,3d804b9a6236112c1086333ce0de57ae99a91df669c2bc20aad0299085f2a685,Two and a Half Men (Manly Men),US4R31226742
105,Jurassic Park,John Williams,1993,https://www.youtube.com/watch?v=-NqaupGcCpw,50cf861e4d41c09bf85bf0fd79d1793fb91a078ecb092141d01b4ba023ec8034,John Williams & Vienna Philharmonic – Williams: Theme from “Jurassic Park”,USMC19340943
106,Mad Max - Jenseits der Donnerkuppel (We Don't Need Another Hero),Tina Turner,1985,https://www.youtube.com/watch?v=kDERlmd2NS4,bcefd48bf1d6bce6ddc80a1e48fa3f472b2e906a6eae6259aa5c7afc38a9af30,We Don't Need Another Hero (Thunderdome),USCA29100186
